size    colorspace  name            driver  epdiy-v7    espink-v3   espink-v2   uespink-v1  ic         url
1.54    C4          GDEM0154F51H    BBEP    0           1           0           1           JD79660    [eshop](https://www.laskakit.cz/good-display-gdem0154f51h-1-54--200x200-epaper-displej-4-barvy/)
2.13    BW          GDEY0213B74     GXEPD   0           0           1           0           SSD1680Z8  [eshop](https://www.laskakit.cz/good-display-gdey0213b74-2-13--250x122-epaper-displej/)
2.9     BW          GDEY029T71H     GXEPD   0           0           1           0           SSD1685    [eshop](https://www.laskakit.cz/good-display-gdey029t71h-2-9--384x168-epaper-displej/)
2.9     C4          GDEY029F51H     GXEPD   0           0           1           0           JD79667    [eshop](https://www.laskakit.cz/good-display-gdey029f51h-2-9--384x168-epaper-displej-4-barvy/)
4.2     G4          GDEY042T81      RAW     0           1           0           0           SSD1683    [eshop](https://www.laskakit.cz/good-display-gdeq042t81-4-2--400x300-epaper-displej/)
4.2     C4          GDEM042F52      GXEPD   0           1           0           0           SSD1683    [eshop](https://www.laskakit.cz/good-display-gdem042f52-4-2--400x300-epaper-displej-4-barvy/)
4.26    G4          GDEQ0426T82     RAW     0           1           0           0           SSD1677    [eshop](https://www.laskakit.cz/good-display-gdeq0426t82-4-26--800x480-epaper-displej-grayscale/)
5.83    C4          GDEY0583F41     RAW     0           1           0           0           JD79665CA  [eshop](https://www.laskakit.cz/good-display-gdey0583f41-5-83--648x480-epaper-displej-4-barvy/)
5.83    BW          GDEQ0583T81     RAW     0           1           0           0           UC8179     [eshop](https://www.laskakit.cz/good-display-gdeq0583t31-5-83--648x480-epaper-displej-grayscale/)
7.4     BW          E2741CS0B2      RAW     0           1           0           0           PDI        [eshop](https://www.laskakit.cz/pervasive-displays-e2741cs0b2-7-4--800x480-epaper-displej/)
7.4     RBW         E2741FS081      RAW     0           1           0           0           PDI        [eshop](https://www.laskakit.cz/pervasive-displays-e2741fs081-7-4--800x480-epaper-cerveny-displej/)
7.5     G4          GDEY075T7       RAW     0           1           0           0           UC8179     [eshop](https://www.laskakit.cz/good-display-gdey075t7-7-5--800x480-epaper-displej-grayscale/)
7.5     RBW         GDEY075Z08      RAW     0           1           0           0           UC8179     [eshop](https://www.laskakit.cz/good-display-gdey075z08-7-5--800x480-epaper-cerveny-displej/)
7.5     C4          GDEM075F52      RAW     0           1           0           0           JD79665AA  [eshop](https://www.laskakit.cz/good-display-gdem075f52-7-5--800x480-epaper-displej-4-barvy/)
10.2    BW          GDEM102T91      GXEPD   0           1           0           0           SSD1677    [eshop](https://www.laskakit.cz/good-display-gdeq102t90-10-2--960x640-epaper-displej/)
10.2    C4          GDEM102F91      GXEPD   0           1           0           0           SSD2677    [eshop](https://www.laskakit.cz/good-display-gdem102f91-10-2--960x640-epaper-displej-4-barvy/)
11.6    C4          GDEY116F51      GXEPD   0           1           0           0           SSD2677    [eshop](https://www.laskakit.cz/good-display-gdey116f51-11-6--960x640-epaper-displej-4-barvy/)
11.6    BW          GDEY116T91      GXEPD   0           1           0           0           SSD1677    [eshop](https://www.laskakit.cz/good-display-gdey116t91-11-6--960x640-epaper-displej-grayscale/)
12.48   C4          GDEY1248F51     RAW     0           1           0           0           IST7166    [eshop](https://www.laskakit.cz/good-display-gdey1248z51-12-48--1304x984-epaper-cerveny-displej/)
13.3    G8          GDEP133UT3      FASTEPD 1           0           0           0           PARALLEL   [eshop](https://www.laskakit.cz/good-display-gdep133ut3-13-3--1600x1200-parallel-epaper-displej/)
